timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742381623002,147,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,true,,4081,923,7,10,null,147,48,0
1742381622665,583,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,4986,578,7,10,https://petstore.octoperf.com/actions/Catalog.action,583,0,438
1742381622664,583,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,4986,578,7,10,null,583,1,438
1742381622682,580,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-28,,true,,5664,525,3,10,null,0,0,436
1742381622682,580,02_01_Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-28,text,true,,5664,525,3,10,https://petstore.octoperf.com/actions/Catalog.action,580,0,436
1742381623261,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,text,true,,3441,923,7,10,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381623191,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,,true,,3441,923,7,10,null,145,70,0
1742381622835,575,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4986,578,7,10,https://petstore.octoperf.com/actions/Catalog.action,575,0,432
1742381622834,575,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4986,578,7,10,null,575,1,432
1742381623319,146,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,3441,923,7,11,https://petstore.octoperf.com/actions/Catalog.action,146,0,0
1742381623248,146,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,3441,923,7,11,null,146,71,0
1742381622913,575,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,4990,578,7,11,https://petstore.octoperf.com/actions/Catalog.action,575,0,432
1742381622912,575,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,4990,578,7,11,null,575,2,432
1742381623414,144,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,3445,927,7,11,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1742381623410,144,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,3445,927,7,11,null,144,4,0
1742381623061,575,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,4987,578,8,12,https://petstore.octoperf.com/actions/Catalog.action,574,0,431
1742381623060,575,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,4987,578,8,12,null,574,1,431
1742381623502,144,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,3442,924,8,12,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1742381623489,144,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,3442,924,8,12,null,144,13,0
1742381623100,581,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,text,true,,5664,525,8,12,https://petstore.octoperf.com/actions/Catalog.action,581,0,437
1742381623099,581,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,,true,,5664,525,8,12,null,581,2,437
1742381623198,579,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,true,,4986,578,8,13,https://petstore.octoperf.com/actions/Catalog.action,579,0,435
1742381623197,579,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,true,,4986,578,8,13,null,579,1,435
1742381623706,144,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,4081,923,8,13,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1742381623636,144,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,4081,923,8,13,null,144,70,0
1742381623748,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,text,true,,3441,923,8,13,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381623682,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,,true,,3441,923,8,13,null,145,66,0
1742381623834,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,true,,3441,923,8,13,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381623777,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,true,,3441,923,8,13,null,145,57,0
1742381623407,583,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,text,true,,4986,578,8,13,https://petstore.octoperf.com/actions/Catalog.action,583,0,438
1742381623407,583,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,,true,,4986,578,8,13,null,583,1,438
1742381623449,580,03_01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-8,,true,,5664,525,1,13,null,0,0,436
1742381623449,580,03_01_Open URL,200,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-8,text,true,,5664,525,1,13,https://petstore.octoperf.com/actions/Catalog.action,580,0,436
1742381623466,578,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,4986,578,8,13,https://petstore.octoperf.com/actions/Catalog.action,578,0,434
1742381623466,578,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,4986,578,8,13,null,578,0,434
1742381623559,579,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4990,578,9,14,https://petstore.octoperf.com/actions/Catalog.action,578,0,435
1742381623558,579,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4990,578,9,14,null,578,1,435
1742381623591,578,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,text,true,,5664,525,9,14,https://petstore.octoperf.com/actions/Catalog.action,578,0,435
1742381623591,578,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,,true,,5664,525,9,14,null,578,0,435
1742381624077,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,text,true,,3445,927,9,14,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381623991,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,,true,,3445,927,9,14,null,145,87,0
1742381623647,577,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,4987,578,9,14,https://petstore.octoperf.com/actions/Catalog.action,577,0,434
